TN,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63
3.68,0.09479,0.09099,0.08968,0.12349,0.74859,0.83269,0.79233,0.78119,0.6799,0.53846,0.088,0.09148,0.11428,0.08683,0.11201,0.10829,0.03987,0.03645,0.04465,0.03346,0.04225,0.03329,0.3812,0.46286,0.25431,0.55823,0.20431,0.11765,0.5273,0.36424,0.5142,0.32157,0.58897,0.78687,0.08874,0.10555,0.10228,0.10115,0.52106,0.2394,0.38474,0.14639,0.54002,0.78632,0.43269,0.17071,0.53617,1,0.45725,0.49016,0.17602,0.8366,0.51454,0.47785,0.42252,0.54582,0.3497,0.62174,0.29937,0.15888,0.35981,0.0746,0.61811
6.34,0.23223,0.16519,0.12,0.06271,0.83898,0.92149,0.97442,0.85685,0.86109,0.7679,0.18973,0.15957,0.11084,0.13585,0.09891,0.08646,0.09883,0.07142,0.04461,0.05613,0.03547,0.02573,0.65746,0.71681,0.85275,0.68693,0.6471,0.62952,0.26364,0.1632,0.05867,0.21443,0.16712,0.22464,0.15899,0.12389,0.10333,0.12281,0.72298,0.78034,0.4442,0.76829,0.27937,0.50767,0.16937,0.65377,0.07973,0.52738,0.09837,0.16496,0.73359,0.66908,0.26731,0.10805,0.69508,0.77926,0.9013,0.74054,0.75318,0.7065,0.81208,0.92349,0.3276
12.6,0.31635,0.28269,0.30129,0.30294,0.66384,0.65122,0.65312,0.55419,0.54616,0.48011,0.29349,0.3066,0.30611,0.29079,0.29579,0.30166,0.16991,0.16646,0.16305,0.15146,0.14953,0.13948,0.42059,0.21514,0.15821,0.17923,0.10161,0.18987,0.48631,0.64299,0.6576,0.73282,0.76487,0.67747,0.29693,0.29782,0.29566,0.29878,0.20425,0.13388,0.7443,0.1237,0.68711,0.52648,0.62752,0.13568,0.64479,0.61086,0.65205,0.74899,0.11696,0.43758,0.76413,0.64418,0.46298,0.27656,0.22862,0.22122,0.15841,0.24925,0.17357,0.2041,0.59571
7.04,0.43602,0.39576,0.41677,0.27738,0.58757,0.55084,0.769,0.4499,0.70233,0.7878,0.40997,0.42356,0.32258,0.40569,0.31919,0.33646,0.26618,0.26314,0.18475,0.24249,0.17119,0.16648,0.39691,0.15379,0.34347,0.1075,0.28463,0.56609,0.5108,0.73092,0.40827,0.83257,0.48045,0.27396,0.41297,0.34143,0.34922,0.36233,0.13626,0.32848,0.81375,0.42504,0.4592,0.15791,0.70465,0.40175,0.4427,0.15096,0.53081,0.58755,0.37302,0.09827,0.60864,0.54047,0.43872,0.20221,0.45204,0.13546,0.39836,0.6489,0.28243,0.74143,0.28856
8.24,0.63981,0.59629,0.56645,0.42161,0.4322,0.47362,0.67344,0.43967,0.64021,0.69894,0.61292,0.59231,0.48421,0.57747,0.48331,0.48315,0.47281,0.4394,0.3374,0.41387,0.3187,0.29509,0.34768,0.1593,0.28172,0.14643,0.24133,0.45474,0.56318,0.72264,0.47926,0.77735,0.53632,0.37118,0.59243,0.51437,0.50907,0.52882,0.15772,0.27407,0.74199,0.33162,0.49058,0.24029,0.72029,0.32979,0.51702,0.27769,0.57169,0.60729,0.29965,0.18525,0.61703,0.58677,0.38764,0.20902,0.38213,0.18244,0.34613,0.54159,0.25735,0.5586,0.34671
5,0.6564,0.61572,0.59548,0.4602,0.4096,0.43372,0.62378,0.39264,0.59016,0.65252,0.63123,0.61696,0.51647,0.60254,0.51513,0.51768,0.49371,0.46666,0.3698,0.44173,0.35093,0.33013,0.33602,0.1346,0.23972,0.11811,0.20408,0.41421,0.57589,0.76043,0.53376,0.81725,0.58931,0.41045,0.61547,0.54311,0.54007,0.55764,0.13061,0.23246,0.7686,0.28567,0.52905,0.25493,0.75435,0.29018,0.56631,0.29649,0.61985,0.65703,0.25643,0.18357,0.66108,0.63216,0.37541,0.17825,0.33208,0.14837,0.29908,0.50042,0.21894,0.49859,0.37492
8.51,0.35545,0.32067,0.28452,0.15967,0.63559,0.72716,0.90143,0.6953,0.83952,0.83952,0.33215,0.30952,0.21551,0.29716,0.21654,0.21243,0.19999,0.17087,0.10668,0.15645,0.09858,0.08394,0.40756,0.33267,0.58042,0.3536,0.50625,0.70182,0.49973,0.49756,0.20694,0.52265,0.26408,0.17298,0.31115,0.24306,0.23661,0.25456,0.35199,0.57,0.56434,0.63782,0.29295,0.20008,0.52254,0.59494,0.27079,0.23008,0.31732,0.33504,0.59516,0.25285,0.37514,0.34771,0.44966,0.41011,0.68566,0.41574,0.63049,0.76928,0.52044,0.86806,0.21268
10.3,0.54028,0.52032,0.49355,0.2576,0.43785,0.51094,0.86606,0.49489,0.85936,1,0.52645,0.51003,0.33871,0.50299,0.35039,0.35801,0.37747,0.34838,0.20176,0.33506,0.19519,0.18049,0.30029,0.15659,0.51792,0.17356,0.49107,0.85651,0.61556,0.72671,0.25149,0.74039,0.27605,0.07619,0.51195,0.38801,0.3954,0.41729,0.16904,0.53186,0.68624,0.67689,0.27563,0,0.74533,0.64785,0.34088,0,0.43197,0.41645,0.61095,0,0.42926,0.47176,0.33762,0.20567,0.62882,0.21456,0.61623,0.89425,0.40992,1,0.10997
3.34,0.30687,0.32686,0.29355,0.25181,0.5,0.65637,0.72686,0.68098,0.68076,0.60477,0.31485,0.29825,0.26699,0.30501,0.27832,0.26906,0.18396,0.16019,0.13773,0.16223,0.14037,0.11872,0.20221,0.21767,0.24329,0.33536,0.25162,0.32354,0.73054,0.63955,0.5289,0.54275,0.52251,0.50721,0.30546,0.28196,0.28132,0.28518,0.27949,0.26221,0.47114,0.24255,0.44364,0.39062,0.72721,0.28331,0.60596,0.5539,0.57093,0.51896,0.25277,0.40135,0.50496,0.61735,0.23138,0.27956,0.33642,0.39626,0.35878,0.4039,0.29644,0.27361,0.38987
8.38,0.22867,0.19258,0.16581,0.15002,0.74294,0.82625,0.83597,0.77505,0.73167,0.62202,0.20397,0.18797,0.17193,0.17403,0.16505,0.15608,0.10732,0.08804,0.07799,0.07696,0.06938,0.05497,0.4833,0.47543,0.40431,0.49732,0.31287,0.3056,0.42352,0.35263,0.34719,0.3771,0.44692,0.52799,0.18714,0.17567,0.16301,0.17293,0.49924,0.37356,0.48502,0.33208,0.4545,0.58579,0.3804,0.31433,0.36681,0.69399,0.34925,0.41145,0.33193,0.64134,0.46188,0.362,0.52627,0.5583,0.51697,0.56273,0.43108,0.38403,0.45722,0.41596,0.47984
6.23,0.21564,0.13163,0.07161,0.03956,0.90678,1,1,0.93252,0.86972,0.7321,0.16328,0.12239,0.08957,0.09356,0.07207,0.05249,0.08271,0.0504,0.03367,0.03522,0.02393,0.01427,0.78854,1,1,0.94012,0.71521,0.54252,0.15561,0,0,0.03675,0.12779,0.29335,0.12287,0.09911,0.06938,0.09148,1,0.88931,0.368,0.81489,0.28125,0.75918,0,0.66123,0,0.78293,0,0.07827,0.791,1,0.2131,0,0.8158,1,1,0.95332,0.80692,0.62686,1,0.90918,0.4165
6.33,0.3673,0.33834,0.30387,0.17849,0.60734,0.70142,0.87961,0.67485,0.82312,0.82759,0.34741,0.32623,0.23233,0.31587,0.23495,0.23149,0.21212,0.18351,0.11808,0.17034,0.11058,0.0951,0.37899,0.30033,0.5288,0.3279,0.46874,0.66697,0.52964,0.5349,0.24337,0.55109,0.29429,0.19731,0.32821,0.26016,0.25538,0.27229,0.32187,0.52375,0.57248,0.58883,0.30943,0.19737,0.56347,0.55745,0.30978,0.23573,0.35409,0.36531,0.55006,0.23811,0.39757,0.38614,0.42023,0.37447,0.63894,0.38824,0.59486,0.73939,0.48043,0.81447,0.22162
5.71,0.47156,0.41696,0.39548,0.25181,0.60452,0.63192,0.83145,0.56646,0.76877,0.81432,0.43744,0.42231,0.31469,0.40232,0.31014,0.31271,0.29182,0.26544,0.18046,0.24048,0.16435,0.1487,0.43575,0.25004,0.44866,0.21836,0.37073,0.60931,0.47085,0.59689,0.30728,0.68193,0.38444,0.23993,0.41894,0.34167,0.33615,0.35661,0.24214,0.42844,0.71052,0.51098,0.39391,0.197,0.58599,0.47297,0.34674,0.19816,0.41727,0.47109,0.46122,0.1845,0.50786,0.43159,0.47841,0.31739,0.56201,0.26653,0.49505,0.6884,0.38901,0.80327,0.27151
12.4,0.3128,0.27562,0.25613,0.18283,0.67797,0.73745,0.83822,0.68098,0.7541,0.71751,0.28789,0.27611,0.21963,0.2616,0.2156,0.21354,0.16583,0.14578,0.10858,0.1314,0.09885,0.08517,0.43819,0.33483,0.43065,0.33514,0.35294,0.48087,0.46839,0.49514,0.32305,0.543,0.40282,0.34703,0.27389,0.2334,0.2267,0.23971,0.34445,0.40953,0.59746,0.43579,0.40887,0.34224,0.50757,0.41005,0.35926,0.39212,0.38841,0.437,0.40979,0.36128,0.47653,0.40535,0.48088,0.41246,0.54395,0.39602,0.47581,0.56751,0.42164,0.63026,0.34703
9.18,0.36137,0.3083,0.28129,0.14809,0.68927,0.74003,0.92325,0.67689,0.84814,0.86472,0.32757,0.30952,0.20899,0.29004,0.20468,0.20442,0.19695,0.17115,0.10231,0.1513,0.09114,0.07921,0.48277,0.35327,0.63828,0.33003,0.52915,0.75904,0.42405,0.47473,0.16982,0.5487,0.24664,0.13515,0.30717,0.23489,0.22754,0.24776,0.35228,0.61054,0.62598,0.70182,0.29803,0.18377,0.47348,0.63233,0.21827,0.17458,0.28562,0.33185,0.6424,0.22791,0.38748,0.30526,0.52574,0.4324,0.73562,0.39053,0.65159,0.81694,0.54257,0.98692,0.20859
18.3,0.56872,0.52827,0.54387,0.53835,0.48023,0.44144,0.4462,0.35378,0.36497,0.33156,0.54323,0.55263,0.54667,0.53555,0.53479,0.54033,0.39615,0.39119,0.38298,0.36712,0.3603,0.34953,0.35622,0.11048,0.08317,0.07062,0.0461,0.16971,0.55396,0.79898,0.79917,0.88741,0.88389,0.70661,0.54352,0.54039,0.53648,0.54135,0.09476,0.06606,0.83714,0.06771,0.76403,0.4776,0.77449,0.09287,0.7826,0.56038,0.7991,0.88256,0.05976,0.34437,0.87568,0.78816,0.39656,0.14765,0.12514,0.08995,0.07444,0.22454,0.08385,0.13475,0.61286
