TN,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,
2.6,0.19544,0.14238,0.07008,0.00771,0.87898,0.9223,0.97165,0.87097,0.8556,0.71553,0.14694,0.09876,0.05616,0.10224,0.06605,0.03816,0.0906,0.05399,0.03293,0.04953,0.03334,0.01844,0.73832,0.79953,0.94759,0.77659,0.84309,0.58833,0.21705,0.11582,0.02423,0.15374,0.07322,0.2334,0.11382,0.08532,0.06747,0.0808,0.78894,0.88804,0.18421,0.79525,0.11748,0.45535,0.10473,0.76859,0.03487,0.46007,0,0.047,0.84999,0.63607,0.08797,0.00344,0.75931,0.84525,0.96189,0.81627,0.88806,0.67165,0.98687,0.74308,0.2464,0
4.84,0.24756,0.17152,0.1168,0.03942,0.89809,0.88851,0.96521,0.7871,0.84076,0.7373,0.18639,0.14843,0.0957,0.14115,0.09665,0.07719,0.11876,0.08582,0.05765,0.07294,0.05084,0.03773,0.81147,0.70229,0.92769,0.60945,0.79927,0.6457,0.15377,0.18131,0.03381,0.28809,0.09634,0.19273,0.15641,0.12135,0.10372,0.12,0.65945,0.85441,0.33469,0.81728,0.15218,0.37081,0.13398,0.77234,0.02945,0.34552,0.04102,0.11259,0.84624,0.50151,0.16129,0.02701,0.82796,0.76364,0.94712,0.66606,0.85463,0.72288,0.89268,0.81253,0.23259,0
6.01,0.25733,0.15695,0.1204,0.04199,0.9586,0.89189,0.96907,0.73226,0.81916,0.73875,0.18163,0.15435,0.10086,0.13666,0.09179,0.08026,0.11571,0.08968,0.06098,0.07075,0.04827,0.03932,0.96007,0.70741,0.93719,0.53999,0.75718,0.64937,0.0315,0.17768,0.02921,0.34978,0.11982,0.19024,0.15525,0.11983,0.10183,0.12,0.63016,0.83495,0.45494,0.82414,0.20079,0.37109,0.09258,0.75038,0,0.31179,0.03537,0.15407,0.83353,0.47632,0.22403,0,0.96414,0.76805,0.95419,0.60006,0.82156,0.72609,0.86241,0.85966,0.26128,0
17.5,0.53909,0.37556,0.45013,0.63325,0.88854,0.56419,0.30284,0.17742,0.15115,0.26996,0.43197,0.47368,0.59542,0.41696,0.52161,0.54386,0.32611,0.3545,0.4683,0.28198,0.37029,0.38813,0.904,0.25939,0.18879,0.00061,0.12934,0.31218,0.07669,0.59865,0.65861,0.99904,0.74077,0.48945,0.4398,0.52105,0.49653,0.5,0.13998,0.14524,1,0.25635,0.76933,0.42016,0.42356,0.22815,0.52597,0.35684,0.77017,0.92048,0.21614,0.32144,0.93499,0.63609,0.91326,0.32417,0.24523,0.00078,0.17987,0.3938,0.06092,0.47607,0.57477,0
3.41,0.41531,0.3083,0.26235,0.37104,0.83758,0.78885,0.59923,0.65806,0.48313,0.41074,0.33946,0.30514,0.3765,0.28279,0.34386,0.31798,0.24079,0.20288,0.26764,0.17021,0.22295,0.18677,0.76313,0.50831,0.3826,0.38159,0.33023,0.32056,0.19535,0.33569,0.42013,0.50578,0.46265,0.47977,0.30623,0.35343,0.31526,0.3264,0.44984,0.34544,0.5043,0.35922,0.48482,0.53401,0.26327,0.34582,0.35519,0.51933,0.43951,0.50912,0.36339,0.55972,0.52602,0.37507,0.78271,0.58607,0.46384,0.44092,0.42128,0.40309,0.37313,0.48038,0.49613,0
1.92,0.05049,0.05717,0.03235,0.11911,0.83758,0.84291,0.68943,0.76129,0.5776,0.46589,0.03469,0.02129,0.07966,0.04339,0.09228,0.07675,0.01858,0.01143,0.04021,0.01985,0.04686,0.03174,0.52515,0.63467,0.33258,0.67753,0.34479,0.19858,0.41426,0.23119,0.47397,0.23109,0.4465,0.63715,0.03368,0.07205,0.07125,0.06027,0.65445,0.3312,0.1573,0.26562,0.42696,0.73809,0.25389,0.29345,0.44534,0.80443,0.43141,0.40248,0.30957,0.84518,0.38777,0.40786,0.55288,0.70408,0.41026,0.72867,0.43724,0.26181,0.4369,0.30222,0.55458,0
2.7,0.26384,0.26009,0.27314,0.26735,0.67834,0.61149,0.63531,0.48065,0.58839,0.60377,0.24694,0.25724,0.25387,0.26733,0.26421,0.27018,0.16181,0.16216,0.1625,0.15931,0.16209,0.1563,0.36791,0.25045,0.36476,0.21991,0.41935,0.51043,0.57334,0.60991,0.43881,0.69136,0.37019,0.29445,0.25823,0.25597,0.26734,0.26107,0.23636,0.38767,0.49144,0.45642,0.32756,0.23998,0.58912,0.49049,0.44989,0.26785,0.59349,0.48993,0.46163,0.24536,0.44474,0.57523,0.39423,0.31394,0.44494,0.26487,0.51605,0.59877,0.31445,0.57043,0.26614,0
12.2,0.50163,0.3935,0.46361,0.59297,0.76433,0.5,0.33376,0.18065,0.23617,0.35994,0.42721,0.46895,0.5553,0.43242,0.50656,0.52982,0.32017,0.34746,0.42614,0.29618,0.36135,0.37811,0.67187,0.19329,0.19547,0.00567,0.18264,0.37535,0.27641,0.68558,0.64887,0.99105,0.65514,0.41999,0.4429,0.50057,0.49149,0.4896,0.10672,0.17829,0.88973,0.29508,0.64777,0.325,0.55212,0.28965,0.55991,0.2922,0.80599,0.84222,0.26251,0.24071,0.82431,0.70293,0.69599,0.24707,0.25328,0.00724,0.24807,0.46239,0.0772,0.49891,0.46463,0
4.96,0.41694,0.36883,0.22192,0.1054,0.66879,0.86655,1,0.97742,0.97436,0.79536,0.37687,0.27912,0.19943,0.28728,0.21952,0.16228,0.27172,0.18135,0.13009,0.17026,0.12744,0.08574,0.46455,0.63137,1,0.70863,1,0.76508,0.47411,0.23373,0,0.20612,0,0.11786,0.3101,0.25673,0.22037,0.2464,0.66702,1,0.10843,0.92071,0,0.26839,0.27473,0.94505,0.06897,0.3181,0.03944,0,0.99378,0.44894,0,0.08378,0.4924,0.70111,1,0.75661,1,0.82337,1,0.79501,0.097,0
3.34,0.09446,0.08632,0.09434,0.31877,0.84076,0.77196,0.42397,0.62258,0.29825,0.22787,0.07075,0.07806,0.22865,0.09077,0.21807,0.20921,0.04032,0.04277,0.12363,0.04536,0.11587,0.09822,0.57271,0.46894,0.07329,0.42358,0.09062,0.05917,0.36851,0.37171,0.85023,0.46218,0.80989,0.87371,0.08091,0.18051,0.17465,0.15493,0.44801,0.07159,0.38133,0.05627,0.77413,0.86971,0.34514,0.08059,0.74449,0.91783,0.81455,0.80093,0.07272,0.86642,0.76966,0.72696,0.59978,0.54737,0.09943,0.48433,0.12825,0.08258,0.0902,0.11988,0.81478,0
2.04,0.12215,0.05605,0.03324,0.08226,0.98089,0.91554,0.80155,0.75484,0.63428,0.52975,0.06395,0.0479,0.08023,0.04339,0.07091,0.05833,0.03717,0.02482,0.04543,0.01991,0.0359,0.02456,0.96968,0.81259,0.54849,0.66655,0.4231,0.27347,0.02387,0.10753,0.26986,0.24007,0.36662,0.53617,0.05072,0.07205,0.05769,0.06053,0.7452,0.47222,0.3629,0.4169,0.43249,0.73469,0.03739,0.37489,0.19587,0.70218,0.19961,0.33499,0.43792,0.8382,0.39552,0.13896,0.97279,0.85587,0.62907,0.7187,0.51988,0.35012,0.61025,0.49947,0.55652,0
5.39,0.22964,0.15919,0.04762,0.08226,0.89809,1,0.8866,1,0.75843,0.55298,0.17143,0.09639,0.11805,0.09726,0.11559,0.06535,0.10797,0.05085,0.07191,0.045,0.06263,0.02867,0.80252,1,0.74409,1,0.64014,0.3164,0.1614,0,0.13376,0,0.19266,0.48456,0.11808,0.13197,0.09174,0.10693,1,0.68233,0.07779,0.54001,0.24032,0.78045,0,0.51884,0.11307,0.80282,0.03238,0.10072,0.60465,1,0.1487,0.02101,0.81961,1,0.80234,1,0.72425,0.39849,0.91016,0.5206,0.45067,0
6.72,0.89902,0.85426,0.74214,0.87318,0.23248,0.38851,0.2268,0.50645,0.34953,0.33527,0.87279,0.79657,0.88252,0.79202,0.86498,0.80921,0.82677,0.73093,0.83824,0.70201,0.80238,0.71166,0.20533,0.1885,0.2534,0.20981,0.35501,0.44556,0.75168,0.69222,0.56949,0.70399,0.43543,0.35126,0.81649,0.87296,0.82188,0.83413,0.19833,0.30144,0.43022,0.36371,0.35911,0.26069,0.70744,0.42191,0.59458,0.31803,0.74349,0.55176,0.37632,0.25963,0.4768,0.73575,0.22415,0.24134,0.3215,0.25338,0.44832,0.53493,0.22505,0.46645,0.29281,0
5.63,0.55049,0.53139,0.36478,0.3359,0.46815,0.73649,0.75902,0.93226,0.80702,0.6357,0.53129,0.42164,0.40057,0.4389,0.42059,0.35,0.41887,0.30662,0.29978,0.29951,0.29563,0.21934,0.25929,0.44389,0.60142,0.56053,0.69068,0.57396,0.69082,0.39559,0.22932,0.33115,0.15975,0.24413,0.45954,0.44482,0.40101,0.42107,0.49771,0.6468,0.12689,0.61185,0.11193,0.28989,0.46504,0.67534,0.30266,0.37298,0.31145,0.18304,0.67103,0.41338,0.13908,0.35553,0.28129,0.52225,0.6781,0.6198,0.76726,0.6585,0.65042,0.59184,0.17346,0
4.58,0.77199,0.77915,0.68553,0.90831,0.19745,0.36318,0.07345,0.49355,0.20378,0.18433,0.77415,0.71319,0.86132,0.72718,0.85236,0.79956,0.69415,0.61946,0.78137,0.61831,0.77525,0.68993,0.09442,0.14817,0.13842,0.2054,0.26675,0.34992,0.88238,0.75021,0.73647,0.70954,0.53851,0.44702,0.73597,0.83352,0.79382,0.7896,0.17458,0.2001,0.38576,0.25195,0.43521,0.32714,0.7924,0.32454,0.75905,0.40831,0.91131,0.6446,0.26914,0.31569,0.54626,0.90287,0.1044,0.19239,0.1832,0.24835,0.34943,0.43517,0.12572,0.34271,0.36581,0
8.59,0.91857,0.77578,0.65768,0.40017,0.49363,0.56757,0.95361,0.58387,1,1,0.83333,0.74808,0.57307,0.71022,0.56289,0.52588,0.78126,0.67361,0.48647,0.59691,0.43429,0.38232,0.49124,0.31755,0.89705,0.25507,0.89071,1,0.44753,0.52891,0.049,0.64841,0.04951,0,0.75765,0.64164,0.59615,0.6464,0.28872,0.8922,0.50859,1,0.05093,0.00762,0.48839,1,0.1036,0,0.22917,0.19245,1,0.05659,0.18505,0.24108,0.51914,0.38922,0.92404,0.30442,0.92327,1,0.69223,1,0.0054,0
