TN,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,,,,
2.68,0.32743,0.24674,0.1717,0.03837,1,0.99162,0.97092,0.86641,0.87655,0.84359,0.28364,0.2383,0.14612,0.21461,0.13365,0.11007,0.18215,0.13434,0.12694,0.1179,0.0886,0.07317,0.9594,0.98992,0.88446,0.87543,0.67647,0.57216,0.03005,0.00607,0.0279,0.0867,0.08973,0.1368,0.24781,0.20884,0.16477,0.20623,0.94307,0.76269,0.29235,0.72189,0.14916,0.26815,0,0.63306,0,0.24107,0,0.05787,0.70383,0.35606,0.11717,0,0.96435,0.99211,0.92764,0.89726,0.799,0.70229,0.9881,0.77687,0.19556,2.52253,-4.91894,9.96401,0
23.8,0.48083,0.37722,0.47763,0.42806,0.97701,0.46089,0.64688,0.16412,0.57215,0.64257,0.4248,0.48337,0.55568,0.44707,0.53197,0.60021,0.30356,0.34289,0.5643,0.31079,0.43802,0.52399,1,0.29379,0.35869,0.04781,0.24878,0.37206,0,0.59058,0.282,0.93001,0.38361,0.26347,0.45939,0.58713,0.57827,0.57822,0.12092,0.29435,1,0.36828,0.44144,0.28393,0.35515,0.30592,0.24483,0.23945,0.33342,0.46081,0.32078,0.25425,0.5166,0.31477,1,0.34743,0.48365,0.05873,0.38635,0.51103,0.37353,0.56544,0.35586,9.74015,1.86692,17.61339,0
5.65,0,0,0,0.01019,0.94636,0.8324,0.86706,0.70229,0.78579,0.77696,0,0,0,0,0,0,0,0,0,0,0,0,0.55801,0.81512,0.46682,1,0.41447,0.31163,0.36703,0.1198,0.20058,0,0.22551,0.31888,0,0,0,0,0.91435,0.43617,0,0.38621,0.24628,0.41555,0.22995,0.37027,0.20949,0.43119,0.18189,0.18047,0.39745,0.51421,0.20179,0.2112,0.591,0.84945,0.59452,1,0.57369,0.44399,0.66159,0.46552,0.31331,0.77576,-7.10783,8.65935,0
1.87,0.79646,0.73428,0.60666,0.31954,0.64368,0.71229,0.88131,0.83969,0.84386,0.81479,0.76451,0.6915,0.5736,0.6916,0.59486,0.57061,0.67641,0.57767,0.6589,0.56945,0.55534,0.51878,0.77702,0.54934,0.72314,0.48913,0.58888,0.61155,0.17361,0.32989,0.07758,0.41067,0.12579,0.11865,0.72553,0.73336,0.67399,0.72535,0.49626,0.64453,0.45475,0.66775,0.16812,0.18429,0.27192,0.60241,0.06589,0.16737,0.09823,0.13675,0.63639,0.22155,0.17838,0.10977,0.79954,0.60938,0.81392,0.54334,0.7314,0.73523,0.77847,0.76923,0.17027,3.93287,-3.50144,11.36719,0
3.62,0.77434,0.88493,0.79188,0.22962,0.09962,0.17318,0.96142,0.64504,1,1,0.83839,0.79187,0.48398,0.86709,0.58281,0.58515,0.75927,0.69881,0.52859,0.80179,0.52741,0.5366,0.33411,0.17004,0.87513,0.32125,0.85834,0.97491,0.59333,0.74549,0.03039,0.58501,0.0329,0.00543,0.84631,0.71673,0.7348,0.77032,0.19963,0.8653,0.35156,0.93476,0.03691,0.01893,0.73138,0.91584,0.07037,0.0359,0.11896,0.06822,0.90438,0.04016,0.07157,0.17644,0.36479,0.20772,0.92149,0.37034,0.92012,0.98562,0.83901,0.91859,0.02158,3.14357,-4.41054,10.69768,0
5.2,0.17699,0.13049,0.18314,0.29736,0.98467,0.67598,0.65401,0.45038,0.57779,0.60587,0.15172,0.18227,0.32537,0.16456,0.3087,0.34008,0.08712,0.0981,0.24836,0.08962,0.19885,0.21598,0.83214,0.46937,0.2494,0.35478,0.18184,0.21525,0.12867,0.4042,0.39802,0.54821,0.48115,0.43589,0.1691,0.31042,0.30012,0.28429,0.38081,0.20985,0.59698,0.23263,0.52208,0.47503,0.29778,0.19796,0.37378,0.44717,0.41418,0.50623,0.21244,0.47983,0.54624,0.4062,0.85016,0.53096,0.3575,0.40593,0.29703,0.32606,0.31309,0.36372,0.49619,7.98954,0.33014,15.64894,0
1,0.33776,0.27758,0.17586,0.05156,0.9272,1,0.96202,0.95038,0.8788,0.83343,0.30541,0.24507,0.16187,0.23188,0.15881,0.12357,0.19885,0.13905,0.14155,0.12839,0.10736,0.08166,0.85456,1,0.85452,0.97162,0.6791,0.54726,0.11079,0,0.03605,0.01911,0.08875,0.14918,0.26322,0.23292,0.18517,0.22518,1,0.75182,0.17947,0.69446,0.13874,0.28149,0.03405,0.62325,0.01771,0.26684,0.00679,0.04789,0.68835,0.38236,0.09801,0.0155,0.87055,1,0.90772,0.97704,0.80092,0.68073,0.9924,0.73637,0.19431,1.55396,-5.93551,9.04342,0
3.42,0.53835,0.53144,0.4922,0.28058,0.62835,0.53073,0.81602,0.60687,0.7841,0.78938,0.53628,0.51601,0.44324,0.52992,0.47117,0.47975,0.40915,0.37699,0.45327,0.39089,0.40328,0.40582,0.62124,0.36755,0.57197,0.37354,0.4947,0.55186,0.30859,0.50802,0.14118,0.52807,0.17391,0.14684,0.53561,0.55342,0.53825,0.55798,0.33531,0.52673,0.46402,0.56492,0.20132,0.18374,0.44778,0.5233,0.14436,0.17705,0.18671,0.19996,0.537,0.20471,0.22658,0.20926,0.65245,0.42652,0.69116,0.42562,0.65049,0.68475,0.64005,0.69034,0.18751,4.14788,-3.25951,11.55526,0
5.72,0.99263,1,0.80437,0.3699,0.29502,0.55307,0.91039,0.96947,0.92277,0.87465,1,0.89039,0.69147,0.9298,0.75629,0.71288,1,0.84626,0.8607,0.88768,0.7758,0.71658,0.59278,0.44171,0.79115,0.48912,0.69652,0.72325,0.33462,0.43133,0.05481,0.41069,0.0824,0.07501,0.95335,0.92644,0.86936,0.92804,0.43755,0.73575,0.35292,0.75978,0.10888,0.12638,0.41154,0.71249,0.06305,0.12617,0.09261,0.09388,0.73463,0.16633,0.11984,0.12239,0.62492,0.50311,0.86384,0.54333,0.81354,0.82174,0.83248,0.81393,0.11127,3.04359,-4.40794,10.49512,0
8.02,0.20944,0.19217,0.1769,0.17626,0.86973,0.75419,0.78694,0.67176,0.72097,0.71654,0.20053,0.19212,0.22759,0.19102,0.23008,0.23209,0.11888,0.10461,0.18313,0.10476,0.15746,0.14791,0.66678,0.59618,0.41988,0.62885,0.35197,0.33204,0.26785,0.289,0.23284,0.28253,0.27508,0.29892,0.19742,0.25438,0.23892,0.24125,0.5965,0.38012,0.2897,0.37529,0.30478,0.36343,0.2903,0.34492,0.22907,0.358,0.2392,0.26716,0.36602,0.4121,0.29665,0.25479,0.69608,0.65391,0.54794,0.67799,0.50801,0.46719,0.54763,0.49341,0.32706,3.44969,-4.0797,10.97908,0
3.07,0.441,0.40095,0.29032,0.08813,0.79693,0.88827,0.96736,0.92748,0.90304,0.8611,0.42018,0.35591,0.23303,0.35501,0.24528,0.21236,0.29709,0.22704,0.21323,0.22331,0.17675,0.14989,0.74641,0.76887,0.87767,0.7805,0.728,0.64871,0.19918,0.15282,0.02971,0.15799,0.0715,0.10296,0.38151,0.33581,0.29306,0.33601,0.77176,0.79005,0.23252,0.76,0.11203,0.20246,0.17206,0.6962,0.02217,0.19522,0.02486,0.04938,0.74728,0.28002,0.08983,0.04262,0.77111,0.80979,0.92317,0.81546,0.83575,0.76511,0.96659,0.78958,0.14651,2.00685,-5.45616,9.46987,0
2.64,0.41593,0.51601,0.47867,0.19844,0.36015,0.3352,0.84807,0.60687,0.854,0.8594,0.47296,0.4569,0.32374,0.51496,0.39256,0.40187,0.33823,0.31449,0.30459,0.37558,0.31931,0.32599,0.25826,0.16856,0.59301,0.37814,0.60711,0.67236,0.67768,0.74747,0.13101,0.52318,0.11769,0.09361,0.49021,0.4514,0.4743,0.47896,0.22925,0.60126,0.25939,0.63975,0.11334,0.10288,0.77221,0.64,0.17893,0.12748,0.21481,0.14375,0.62677,0.12825,0.13899,0.27732,0.28496,0.206,0.70931,0.43042,0.74604,0.78354,0.67353,0.71352,0.10236,2.28023,-5.16766,9.72811,0
2.34,0.11062,0.23369,0.23829,0.13129,0.47893,0.40223,0.79169,0.58015,0.78298,0.79221,0.17942,0.18719,0.15046,0.24511,0.20912,0.22378,0.09706,0.09816,0.10775,0.1426,0.14591,0.1534,0,0.08317,0.38062,0.46996,0.45864,0.48217,1,0.86868,0.26335,0.42938,0.19568,0.18542,0.20866,0.20753,0.24637,0.22583,0.23178,0.42629,0.04041,0.43792,0.16662,0.17762,1,0.47183,0.34719,0.22759,0.35956,0.2083,0.44616,0.21248,0.17936,0.45144,0,0.10402,0.50717,0.52423,0.61694,0.62156,0.52643,0.51749,0.16633,0.86323,-6.91253,8.63898,0
5.08,0.50885,0.48992,0.44745,0.26799,0.68582,0.59497,0.81662,0.6374,0.77621,0.77696,0.5,0.47722,0.42097,0.48504,0.44182,0.44652,0.37281,0.3384,0.42284,0.34543,0.36983,0.36657,0.66254,0.42204,0.56547,0.41314,0.47985,0.52252,0.2716,0.45109,0.14443,0.48659,0.18262,0.16225,0.49479,0.52014,0.49941,0.51976,0.3862,0.51534,0.45315,0.54606,0.21359,0.20668,0.39446,0.50182,0.14307,0.1974,0.18081,0.20303,0.51974,0.23217,0.23328,0.1995,0.69203,0.48307,0.68547,0.46662,0.63686,0.65874,0.64186,0.67287,0.20507,4.09783,-3.30726,11.50292,0
4.99,0.11062,0.16489,0.15713,0.28717,0.70115,0.62011,0.63739,0.65649,0.60372,0.60136,0.14116,0.13916,0.29169,0.16686,0.31499,0.31828,0.07652,0.07113,0.20138,0.08946,0.21166,0.1936,0.29292,0.36781,0.20295,0.63204,0.21503,0.19691,0.63862,0.50773,0.46316,0.27976,0.42935,0.46364,0.15202,0.29597,0.29502,0.26566,0.47367,0.21002,0.08076,0.20104,0.42254,0.48618,0.60243,0.20803,0.49898,0.51397,0.49236,0.41922,0.2066,0.52961,0.41267,0.53777,0.32164,0.4268,0.29894,0.68098,0.34244,0.30191,0.32444,0.27914,0.4478,3.66763,-4.22287,11.55813,0
